UserScreenName,formatted_text,Timestamp,Comments,Likes,Retweets
Embajada de Rusia en Chile,"Primero la ""z significa ""za pobedu «por la victoria es una explicación oficial del ministerio de defensa de la federación de rusia y en segundo lugar estimado @t13 si todavía están buscando esvástica en #ucrania les ayudaremos ",2022-03-23T00:38:53.000Z,69.0,373.0,478.0
Embajada de Rusia en Chile," no hay nazismo episodio  járkov el soldado del régimen de #kiev porta el chevron idéntico a la insignia de la panzerdivision ss ""totenkopf de la alemania #nazi reportaje del bbc del  de marzo de  y unas fotos para su colección #desnazificación",2022-03-26T18:16:58.000Z,51.0,152.0,203.0
Embajada de Rusia en Chile,Para comprender mejor la situación en el contexto de la censura y #rusofobia total #desnazificacion,2022-03-24T23:39:17.000Z,27.0,90.0,175.0
Embajada de Rusia en Chile, la campeona rusa de levantamiento de pesas maryana naumova respondió a arnold schwarzenegger señor schwarzenegger por favor encuentre y lea las cartas que los niños del #donbas le enviaron en  terminator no se ponga del lado de skynet http t.me embruschile ,2022-03-22T23:36:47.000Z,3.0,6.0,13.0
Embajada de Rusia en Chile,Ante la polémica medida de los políticos de #eeuu y #europa de cancelar todo lo relacionado con #rusia les pedimos que tomen en consideración nuestra lista ,2022-03-30T21:59:48.000Z,88.0,309.0,770.0
Embajada de Rusia en Chile,"Para el ""debate sobre #bucha las ff.aa rusas como parte de una reconfiguración de su presencia abandonaron la zona de bucha el  de marzo y durante los tres días siguientes el alcalde habló allí en la televisión diciendo que la ciudad estaba volviendo a la ""normalidad .",2022-04-04T19:02:42.000Z,29.0,83.0,133.0
Embajada de Rusia en Chile,Declaración del ministerio de defensa de #rusia las fotos y videos de #bucha son otro espectáculo montado por el régimen kievita para los medios occidentales igual como ocurrió con la maternidad en mariúpol y en otras ciudades https goo.su ot3jt,2022-04-03T22:00:03.000Z,5.0,2.0,9.0
Embajada de Rusia en Chile,Por cierto un lugar muy lindo en #santiago el gran maestro de la literatura rusa en un país maravilloso chile ,2022-04-02T02:11:10.000Z,1.0,6.0,45.0
Embajada de Rusia en Chile,Por cierto podría ser una historia increíble para una novela de #chejov llena de absurdo e ironía #stophatingrussians,2022-04-08T01:42:25.000Z,2.0,8.0,18.0
Embajada de Rusia en Chile,"No sólo en nuestro país sino en todo el mundo yuri #gagarin pasó a encarnar los logros de la humanidad el sueño se hizo realidad el  de abril de  cuando la primera persona en dejar la tierra y llegar hasta la frialdad espacial dijo ""poyéjali vámonos ",2022-04-12T06:02:00.000Z,4.0,13.0,44.0
