_,id,title,photo,date,creator,left,broadcast,verified,megagroup,restricted,signatures,min,scam,has_link,has_geo,slowmode_enabled,call_active,call_not_empty,fake,gigagroup,noforwards,join_to_send,join_request,forum,access_hash,username,restriction_reason,admin_rights,banned_rights,default_banned_rights,participants_count,usernames
Channel,1624111695,"Guerra de Ucrania, subtitulada","{'_': 'ChatPhoto', 'photo_id': 5963312269884505385, 'dc_id': 4, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08\xcf\xfb0\xff\x00&\x8a(\xac\xfd\xb3\xec\x8e\xbf\xab\xc7\xb9'}",2022-04-13 20:16:04+00:00,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-1088008977570771586,rpd_es,[],,,,1851,[]
Channel,1326223284,Рыбарь,"{'_': 'ChatPhoto', 'photo_id': 5379844007854718198, 'dc_id': 2, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08tw!dh\xb3\xcfa\x8f\xce\x8a(\xaey$\x8e\xa8\xeb{\x9f'}",2018-02-10 18:25:33+00:00,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3481086935138800654,rybar,[],,,,1080368,[]
Channel,1228946795,a user,{'_': 'ChatPhotoEmpty'},2019-03-15 13:01:57+00:00,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-1286368703951297218,HiddenSender,[],,,,328909,[]
Channel,1497566150,Inna Afinogenova,"{'_': 'ChatPhoto', 'photo_id': 5873019030686775807, 'dc_id': 4, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08\xbco#K\xc3\x1bK\x81\x8f\xc0\x1fL\xfa\xd1E\x14l=\xcf'}",2020-09-04 12:39:04+00:00,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5862336025221544438,inafinogenova,[],,,,111793,[]
Channel,1220439828,Semión Sénderov,"{'_': 'ChatPhoto', 'photo_id': 5280633673521149291, 'dc_id': 2, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08Cp\xe6`B\x80H\xdbE\x14Sl\x12?'}",2021-05-22 15:32:37+00:00,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,-6946366132698755814,Senderov_RT,[],,,,9394,[]
Channel,1336799876,Russia Beyond en español,"{'_': 'ChatPhoto', 'photo_id': 5449706749050340344, 'dc_id': 2, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08\xd3\xc4\xbev\xec\xfc\x99\xc6=\xb1\xd6\x8a(\xa0\x1b\xb9'}",2022-02-22 08:14:27+00:00,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7302714611906065633,russiabeyondes,[],,,,4220,[]
Channel,1701685420,РОЛИКИ НА РАЗНЫХ ЯЗЫКАХ,"{'_': 'ChatPhoto', 'photo_id': 5411362213039552211, 'dc_id': 2, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08\xd2\xfd\xff\x00\x9b\xfc\x1b3E\x14P\x07'}",2022-04-21 14:38:38+00:00,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3702173252220776066,video_languages,[],,,,17148,[]
Channel,1644386175,Comité Galego de Apoio ao Donbass,"{'_': 'ChatPhoto', 'photo_id': 5888915709671618143, 'dc_id': 4, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08B\x1br\x90[v~a\xdb\xad\x14Q\\r\x91\xd6\xa2\x7f'}",2022-03-20 16:18:05+00:00,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,225865975805094878,CG_Donbass,[],,,,185,[]
Channel,1766679337,DPR MFA,"{'_': 'ChatPhoto', 'photo_id': 5409310786335128252, 'dc_id': 2, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08\xa9\xb6\xdf\xcb\xdf\xcfLc\xde\x8a(\xaaQ\xbfQ\\'}",2022-03-11 08:36:39+00:00,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8864211091506942909,dpr_mfa,[],,,,3400,[]
Channel,1642508293,Comité de Solidaridad Donbás,"{'_': 'ChatPhoto', 'photo_id': 5861436594811156969, 'dc_id': 4, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08\xd1\x0b7\xdaI,\xde_\xa7aE\x14P\x07'}",2022-03-11 08:51:59+00:00,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,-135741303543085883,ApoyoDonbas,[],,,,237,[]
